"","beta_n","beta_n","beta_n","beta_n","beta_n","beta_n","beta_n","beta_n","beta_n","beta_n","beta_w","beta_w","beta_w","beta_w","beta_w","beta_w","beta_w","beta_w","beta_w","beta_w","lambda_n","lambda_w","log_kappa","log_kappa","log_kappa","log_kappa","log_tau","log_tau","log_tau","log_tau","log_sigma"
"beta_w",-0.117070097947553,-0.0548502585092966,-0.0544579129800729,-0.0541170622447402,-0.0535232221164642,-0.0545174759426303,-0.0550827498803138,-0.0543399547420343,-0.0544044361060482,-0.0548466013101638,1,0.941265738046008,0.9393200234145,0.940305156210781,0.939043935229004,0.940894249230566,0.939022113757419,0.941134250163884,0.939899148959632,0.938904311221022,0.0919972552395791,-0.144745951603677,0.0035487770031667,0.00760007507226303,1.23684153193434e-05,-3.49512378532443e-06,0.00220717039618845,-0.00388962086211436,5.0863507276542e-05,-6.86390184909708e-05,0.0348350339974398
"beta_w",-0.0549595526071401,-0.110768569984579,-0.0562622460469202,-0.056026978106636,-0.0554020612141042,-0.0564915748788334,-0.0569457078795349,-0.0562307529546124,-0.0562787005881533,-0.0568047296253275,0.941265738046008,1,0.94251100825442,0.943570171961045,0.942270192191632,0.944169688145911,0.942237219012218,0.944383519238442,0.943112868515681,0.942172175276178,0.0951787783668511,-0.147412604665091,0.00423136136373182,0.00681509595980336,1.27239652189075e-05,-3.54547877101581e-06,-0.00106691076723997,-0.00176845932548468,5.22005152693401e-05,-7.02805643182152e-05,0.0352809499763824
"beta_w",-0.0541928303067761,-0.0559161688344763,-0.115393973118728,-0.055104216053606,-0.05455907754673,-0.0555335832342773,-0.0561187721952639,-0.0555522522385828,-0.0553866636971291,-0.0560156116221491,0.9393200234145,0.94251100825442,1,0.941533621575639,0.940287596802748,0.94212375534756,0.940278000596747,0.942457516262174,0.94110193194261,0.940193655392882,0.0919094031373589,-0.144504364380482,0.00617680703375988,0.00775008979924943,1.24808141672587e-05,-3.45719910874848e-06,-0.00183030848778048,-0.00112261453543603,5.12508075364378e-05,-6.89367401393233e-05,0.036040755078454
"beta_w",-0.0540759564163472,-0.055904398717014,-0.0553332765257011,-0.112198488657463,-0.0545045369004748,-0.0555731173259469,-0.0560777987759228,-0.0552856086340008,-0.0554025063923845,-0.0558502313387418,0.940305156210781,0.943570171961046,0.941533621575639,1,0.941296632222083,0.94318988160138,0.941270795133663,0.943356121587067,0.942149867574162,0.941156829861495,0.09489965997509,-0.146844459361609,0.005180654538917,0.0063427384962495,1.26589517306545e-05,-3.48035918457722e-06,-0.00216406817223805,-0.00121899476940557,5.19545387358242e-05,-6.96836515047392e-05,0.0352969941833437
"beta_w",-0.0535897718709033,-0.0553973936667294,-0.0549074439919443,-0.0546447847349928,-0.114946615415355,-0.0549500093377497,-0.0555689877382989,-0.0549608677004305,-0.0548930660826297,-0.0553842197565233,0.939043935229004,0.942270192191632,0.940287596802747,0.941296632222082,1,0.941839414924069,0.940007484286692,0.942170560704552,0.940849915932254,0.939858812029055,0.0893408088635809,-0.143974717913312,0.00452210843008782,0.00627627000771071,1.25939706657299e-05,-3.52394705904698e-06,-0.00099060849803115,-0.00280898489949384,5.1472482141328e-05,-6.94055254421397e-05,0.0346146964087145
"beta_w",-0.0546650673685462,-0.0565453361316519,-0.0559597816033392,-0.0557764223106745,-0.0550244458009063,-0.111482068646887,-0.0566384646484716,-0.0559172692196851,-0.0560019899279258,-0.056469136704631,0.940894249230566,0.944169688145911,0.94212375534756,0.943189881601379,0.941839414924068,1,0.941843160310502,0.943955638137236,0.942712551684974,0.94175338758303,0.0946868902460074,-0.147399967608202,0.00522919820707047,0.00578646947572926,1.26857019178486e-05,-3.5418020100441e-06,-0.00272451252551539,0.000137760380087588,5.19776464349014e-05,-6.99311490673977e-05,0.0350408044596465
"beta_w",-0.0554510266184256,-0.0572134863646534,-0.0567365101414581,-0.0564655165415603,-0.0558234548630762,-0.0568640244074329,-0.118432030270131,-0.0567590200896974,-0.0566630143429447,-0.0573244904223973,0.93902211375742,0.942237219012219,0.940278000596747,0.941270795133663,0.940007484286692,0.941843160310503,1,0.942134020520292,0.940785418039166,0.939933690968232,0.0925775289928936,-0.145211603547464,0.00404970294178554,0.00599174005997497,1.31310171691867e-05,-3.6179517902853e-06,-0.00056070661631043,0.000336769435385598,5.40798026623117e-05,-7.15839543656408e-05,0.0349647045323835
"beta_w",-0.0539624296359058,-0.0557579383204813,-0.0554350743261289,-0.0549507321848541,-0.0545087106416286,-0.0553781514202173,-0.0560215162746133,-0.10956800631603,-0.0551811921342502,-0.0557233423193047,0.941134250163884,0.944383519238442,0.942457516262173,0.943356121587067,0.942170560704552,0.943955638137236,0.942134020520292,1,0.942915875094403,0.941975003444295,0.0911459829112225,-0.145362154583702,0.00573892049188033,0.00593570462959359,1.27525821550203e-05,-3.5526628059833e-06,-0.00156703606496972,-0.000784124053668947,5.19680974797161e-05,-6.99692053122164e-05,0.0358759185928297
"beta_w",-0.0544391124033857,-0.0561804347821823,-0.0556670873699642,-0.0554337669349446,-0.0547972408931884,-0.055847341373115,-0.0563163139005197,-0.0555841086252814,-0.113802338434799,-0.0561456459935292,0.939899148959632,0.943112868515681,0.94110193194261,0.942149867574162,0.940849915932254,0.942712551684974,0.940785418039166,0.942915875094404,1,0.940682757585162,0.0905869577113833,-0.144402532159859,0.00279260740755462,0.00696484727554033,1.27965820413152e-05,-3.53126009603971e-06,0.000794306289718363,-0.00299809154360865,5.22984899762616e-05,-7.02570620107206e-05,0.0360537847528598
"beta_w",-0.0550078338277698,-0.0568654577018195,-0.0564149517535002,-0.0560473896530405,-0.0554339131342116,-0.0564682951950616,-0.0571165692886274,-0.056265813740097,-0.0562846923618434,-0.118129914390634,0.938904311221022,0.942172175276179,0.940193655392882,0.941156829861495,0.939858812029055,0.94175338758303,0.939933690968232,0.941975003444295,0.940682757585163,1,0.0920263060741209,-0.145545153665219,0.00417755693235324,0.00722080160537354,1.28526313557826e-05,-3.59074928127938e-06,-0.000175156005499086,-0.0010956407932971,5.25835280761932e-05,-7.069658904109e-05,0.0349082315310176
